EOS2-20ms-4000f001_MIA-Filter-10pt.trc 
frametime: 0.02 s
pixelsize: 0.16 micron
minpointMSD: 10
pourcentage_trajectory: 60
number length(frame) intersect_MSD(um^2) Dinst(micron^2/s)  D(micron^2/s)   V(micron/s) r2/t(um2/s) R-square(D,V)   adjusted_R-square(D,V)  Vseul   R-square(Vseul) adjusted_R-square(Vseul)    Dseul R-square(Dseul)   adjusted_R-square(Dseul)  a2   A2 b alpha R-square-alpha 
89           348   0.005687735   0.003245111  0.0002231986    0.01764904   0.004941309     0.8805546     0.8799315     0.0271422     0.9789917     0.9789188  0.0007078652     0.8889669     0.8885814     0.1640703     0.5156809   0.006027567     0.5963302       0.77695
9812            142   0.0048939471   0.0059383128  0.00038554888   0.0032581246   0.0090729627     0.53765546     0.53167686    0.029040317     0.46406694     0.45946666  0.00039330539     0.53758996     0.53362078     0.14407764     0.55970314   0.0065996106     0.14407672     0.63860073
12480             119    0.0090272769    0.0510407676   0.00742741127    0.0376052028     0.276464939     0.966079445     0.965552182     0.157943124     0.918687847     0.917849577   0.00784114689     0.965923155     0.965571847    0.0269755207     0.897691988    0.0388951022     0.490902141     0.951079451
16818             300   0.00894007506    0.0101969798   0.00142157822    0.0335624702    0.0375736598     0.978118354     0.977985738    0.0534329424     0.954089231     0.953904107    0.0022597865     0.968905557     0.968780177    0.0856609285     0.709293761    0.0184556018     0.506936005     0.919871756
26375             239   0.00318517794   0.00546022739   0.00775090148    0.0558736022    0.0509513219     0.998789355     0.998780114     0.124626268     0.984291419      0.98421168   0.00950999855     0.997960279     0.997949926   0.00574759445      0.97727164    0.0399888291     0.981153032     0.996815138
33429             123    0.0050289582   0.00683819556   0.00738384998      0.22947084      0.14564822     0.999155863     0.999143201     0.274952398     0.996269406     0.996232286    0.0222261021     0.985844763     0.985703915   0.00206764777     0.991763504     0.090742595      1.31054397     0.994858867
37716              96   0.00907514385     0.191515738     0.155004326 2.87331489e-005     0.459096138     0.997600517     0.997554076     0.781562184     0.985139069     0.984948544     0.155011446     0.997600517     0.997569754    0.0690467737     0.758337109     0.607414617     0.855660205     0.998567732
47373             173   0.00546327191   0.00665892177   0.00171809859    0.0543248078    0.0562357155     0.992159834     0.992076722    0.0805895897     0.975044153     0.974868408    0.0030408687     0.981205733     0.981073379    0.0755090334     0.738885627    0.0173382032     0.629827065     0.939856276
48181             144    0.0482922231     0.272650152    0.0588656206 4.27487725e-005     0.561071868     0.925252096     0.924297867     0.351516304     0.899985789     0.899138211    0.0588638083     0.925252096     0.924618639  0.000761543355     0.996958461     0.330546505      0.48585058     0.945357744
