EOS2-20ms-4000f001_MIA-Filter-10pt.trc 
frametime: 0.02 s
pixelsize: 0.16 micron
minpointMSD: 10
pourcentage_trajectory: 60
number length(frame) intersect_MSD(um^2) Dinst(micron^2/s)  D(micron^2/s)   V(micron/s) r2/t(um2/s) R-square(D,V)   adjusted_R-square(D,V)  Vseul   R-square(Vseul) adjusted_R-square(Vseul)    Dseul R-square(Dseul)   adjusted_R-square(Dseul)  a2   A2 b alpha R-square-alpha 
85           34  -0.00661798     0.445832     0.391955 1.94893e-005      2.20732     0.998285     0.998186      2.10293     0.984637     0.984057      0.39195     0.998285     0.998221    0.0130666     0.949073      1.57584      1.02635     0.998003
89           348   0.005687735   0.003245111  0.0002231986    0.01764904   0.004941309     0.8805546     0.8799315     0.0271422     0.9789917     0.9789188  0.0007078652     0.8889669     0.8885814     0.1640703     0.5156809   0.006027567     0.5963302       0.77695
626            34   -0.01573464     0.4726458     0.3389085      2.548404      8.318049     0.9999579     0.9999554      3.322836     0.9991459     0.9991137        0.7443     0.9985708     0.9985169    0.00367525     0.9854065      6.216579      1.531906     0.9999714
1236             34     0.01627814    0.031961226   -0.008343607      1.2215711      1.0263714     0.99872863     0.99865528      1.1841107     0.99858498     0.99853159      0.1184006     0.96253781     0.96112414    0.003339906     0.98672917     0.87018739      1.5047327     0.98558827
1791             20    0.026218494      1.2064465     0.60265135 1.7740383e-005      6.7681162     0.97177339     0.96874911      2.9637577     0.92834884     0.92340738     0.60265565     0.97177339     0.96982673   0.0087008911     0.96579427      1.8664201     0.81172306     0.97864294
2079             17  -0.0023767552     0.48275648     0.24788963       3.222481      1.1176977     0.99972203     0.99968577      4.0778346     0.99812723     0.99797117     0.61391168     0.99580527     0.99545571   0.0045562637     0.98193989      6.3509415      1.4861095     0.99936192
2357             31    0.017286713   0.0038172494   -0.010274456     0.33768759    0.053928822     0.32003341     0.27663129     0.13586339     0.20927649     0.17632968   0.0013417076     0.17064829     0.13609196     0.63089159    0.051222137    0.015433961    0.022374074      0.1403046
3148             40    0.010369233              0   0.0011728075  0.00032429768    0.052766239     0.21892036     0.18112618    0.091978685     0.21133596     0.18629901   0.0011578535     0.21888938     0.19409222     0.73120789    0.024106523    0.012658678    0.059631597     0.16102472
3219             21     0.01458405     0.54277382    0.026372668      4.7095142      6.4414189     0.99988752     0.99987627      4.7552909     0.99987852     0.99987068      1.2563133     0.97844323     0.97705247   0.0010950491     0.99562938      18.612774      1.8597642     0.99949325
3448             29    0.015768145    0.077543657    0.026333616 5.0555785e-006     0.23249569     0.90223302     0.89541207     0.55757571     0.83428959      0.8267573     0.02632467     0.90223294     0.89778898     0.13354821     0.58426359    0.072649434     0.39164928     0.93203108
3835             24  -0.0046139065     0.45565164     0.18854247      3.1933475      4.3730241     0.99998132     0.99997972      3.6872016     0.99934804     0.99931183     0.67467198     0.99508142     0.99480817   0.0010377432     0.99585763      7.9940607      1.6516526     0.99989141
4211             28   0.0080371337     0.59790639     0.32311132  8.269455e-006      1.9240541     0.97180216     0.96978803       1.878082     0.93861827     0.93576331     0.32310579     0.97180216     0.97049064    0.086630737     0.70652708      1.0307822     0.83493736     0.97585566
4445             27    0.022511723     0.17929162     0.14540405      1.2343463      1.3349832     0.99805689     0.99791115      1.8535645     0.98374907     0.98295634     0.24928466     0.98991481     0.98942285    0.027924182     0.89428946      1.1121179      1.0501801     0.99047978
4676             25  -0.0034354866     0.59550051    0.085363965      4.5560915      9.9062874     0.99998223     0.99998079      4.6974906     0.99995136      0.9999488      1.3096501     0.99295469     0.99258388  0.00010193526     0.99959234        19.5248      1.9108463     0.99998301
5028             34 -0.00075074268     0.47709559    0.038186119      4.2710005      10.134316     0.99999605     0.99999582      4.3267105     0.99998952     0.99998913      1.3240025     0.99162698     0.99131102  0.00011997852      0.9995202      17.719388      1.9524593     0.99999686
